[18:46:44.181] [GameLogic] Update start, frame: 2143, deltaTime: 0.0169783s
[18:46:45.094] [GameLogic] Update start, frame: 2198, deltaTime: 0.0162709s
[18:46:45.127] [GameLogic] Update start, frame: 2200, deltaTime: 0.016749s
[18:46:46.276] [GameLogic] Update start, frame: 2269, deltaTime: 0.017109s
[18:46:46.790] [GameLogic] Update start, frame: 2300, deltaTime: 0.0164939s
[18:46:48.470] [GameLogic] Update start, frame: 2400, deltaTime: 0.0164692s
[18:46:50.133] [GameLogic] Update start, frame: 2500, deltaTime: 0.0166716s
[18:57:33.143] [GameLogic] Update start, frame: 100, deltaTime: 0.0167358s
[18:57:34.818] [GameLogic] Update start, frame: 200, deltaTime: 0.0162968s
[18:57:36.488] [GameLogic] Update start, frame: 300, deltaTime: 0.0169491s
[18:57:38.145] [GameLogic] Update start, frame: 400, deltaTime: 0.0168748s
[18:57:39.968] [GameLogic] Update start, frame: 500, deltaTime: 0.0162834s
[18:57:41.843] [GameLogic] Update start, frame: 600, deltaTime: 0.0170628s
[18:57:43.505] [GameLogic] Update start, frame: 700, deltaTime: 0.0165105s
[18:57:45.165] [GameLogic] Update start, frame: 800, deltaTime: 0.016151s
[18:57:46.824] [GameLogic] Update start, frame: 900, deltaTime: 0.0166023s
[18:57:48.485] [GameLogic] Update start, frame: 1000, deltaTime: 0.0162257s
[18:57:50.152] [GameLogic] Update start, frame: 1100, deltaTime: 0.0166344s
[18:57:51.814] [GameLogic] Update start, frame: 1200, deltaTime: 0.0167001s
[18:57:53.473] [GameLogic] Update start, frame: 1300, deltaTime: 0.0164878s
[18:57:55.147] [GameLogic] Update start, frame: 1400, deltaTime: 0.0170487s
[18:57:56.897] [GameLogic] Update start, frame: 1500, deltaTime: 0.0170136s
[18:57:58.635] [GameLogic] Update start, frame: 1600, deltaTime: 0.0166477s
[18:58:01.223] [GameLogic] Update start, frame: 1700, deltaTime: 0.0163665s
[18:58:02.886] [GameLogic] Update start, frame: 1800, deltaTime: 0.0162323s
[18:58:05.346] [GameLogic] Update start, frame: 1900, deltaTime: 0.0169878s
[18:58:07.005] [GameLogic] Update start, frame: 2000, deltaTime: 0.0166817s
[18:58:07.594] [GameLogic] Update start, frame: 2032, deltaTime: 0.0161214s
